id,region,name
100,北海道,旭川駅前
101,北海道,旭川西
102,北海道,札幌発寒
103,北海道,札幌苗穂
104,北海道,札幌平岡
105,北海道,苫小牧
106,北海道,釧路昭和
107,東北,つがる柏
108,東北,下田
109,東北,盛岡
110,東北,盛岡南
111,東北,秋田
112,東北,大曲
113,東北,名取
114,東北,石巻
115,東北,富谷
116,東北,新利府
117,東北,仙台上杉
118,東北,天童
119,東北,三川
120,東北,山形南
121,東北,いわき小名浜
201,関東,水戸内原
202,関東,つくば
203,関東,土浦
204,関東,下妻
205,関東,佐野新都市
206,関東,小山
207,関東,高崎
208,関東,太田
209,関東,羽生
210,関東,春日部
211,関東,上尾
212,関東,北戸田
213,関東,浦和美園
214,関東,川口
215,関東,川口前川
216,関東,与野
217,関東,レイクタウン
219,関東,幕張新都心
220,関東,千葉ニュータウン
221,関東,成田
222,関東,富津
223,関東,木更津
224,関東,津田沼
225,関東,八千代緑が丘
226,関東,柏
227,関東,船橋
229,関東,むさし村山
230,関東,日の出
231,関東,多摩平の森
232,関東,東久留米
234,関東,座間
235,関東,大和
301,中部,新潟亀田
302,中部,新発田
303,中部,高岡
304,中部,となみ
305,中部,新小松
306,中部,白山
307,中部,かほく
308,中部,甲府昭和
309,中部,松本
310,中部,佐久平
311,中部,須坂
401,中部,各務原
403,中部,土岐
404,中部,大垣
405,中部,浜松志都呂
406,中部,浜松市野
407,中部,富士宮
409,中部,熱田
410,中部,名古屋茶屋
411,中部,新瑞橋
412,中部,大高
413,中部,MOZO\n wondercity
414,中部,ナゴヤドーム
415,中部,岡崎
416,中部,常滑
417,中部,扶桑
418,中部,木曽川
419,中部,東浦
420,中部,名古屋\nNoritake Garden
421,中部,長久手
422,中部,豊川
427,中部,鈴鹿
423,中部,東員
424,中部,津南
425,中部,桑名
426,中部,明和
428,中部,四日市北
501,近畿,草津
502,近畿,京都五条
503,近畿,北大路
504,近畿,京都桂川
505,近畿,KYOTO
506,近畿,久御山
507,近畿,高の原
508,近畿,茨木
509,近畿,堺北花田
510,近畿,堺鉄砲町
511,近畿,大阪ドーム
512,近畿,大日
513,近畿,鶴見緑地
514,近畿,四条畷
515,近畿,りんくう泉南
516,近畿,日根野
525,近畿,猪名川
517,近畿,伊丹
518,近畿,伊丹昆陽
519,近畿,姫路大津
520,近畿,姫路リバー
521,近畿,河西北条
522,近畿,umie
523,近畿,神戸北
524,近畿,神戸南
526,近畿,橿原
527,近畿,大和郡山
528,近畿,登美ヶ丘
529,近畿,和歌山
601,中国,鳥取北
602,中国,日吉津
603,中国,出雲
604,中国,岡山
605,中国,倉敷
606,中国,津山
607,中国,広島府中
608,中国,広島祇園
701,四国,徳島
702,四国,高松
703,四国,綾川
704,四国,新居浜
705,四国,今治新都市
706,四国,高知
801,九州沖縄,福岡
802,九州沖縄,福岡伊都
803,九州沖縄,福津
804,九州沖縄,直方
805,九州沖縄,香椎浜
806,九州沖縄,筑紫野
807,九州沖縄,大牟田
808,九州沖縄,八幡東
809,九州沖縄,佐賀大和
811,九州沖縄,熊本
812,九州沖縄,宇城
813,九州沖縄,三光
814,九州沖縄,宮崎
815,九州沖縄,都城駅前
816,九州沖縄,鹿児島
818,九州沖縄,沖縄ライカム
1002,海外,天津TEDA
1003,海外,天津中北
1004,海外,天津津南
1005,海外,蘇州呉中
1006,海外,蘇州園区湖東
1007,海外,蘇州新区
1009,海外,南通星湖
1104,海外,常熟新区
1010,海外,杭州良渚新城
1011,海外,杭州銭塘
1013,海外,武漢金銀潭
1014,海外,武漢経開
1015,海外,武漢江夏
1100,海外,武漢金橋
1016,海外,広州番禺広場
1101,海外,広州金沙
1102,海外,広州新塘
1017,海外,佛山大瀝
1018,海外,煙台金沙灘
1019,海外,長沙星沙
1020,海外,長沙湘江新区
1021,海外,青島西海岸新区
1103,海外,河北燕郊
1030,海外,ロンビエン(VN)
1031,海外,ハドン(VN)
1032,海外,タンフーセラドン(VN)
1033,海外,ビンタン(VN)
1034,海外,ビンズオンキャナリー(VN)
1035,海外,ハイフォンレチャン(VN)
1036,海外,フエ(VN)
1037,海外,タインホア(VN)
1038,海外,ダナンタンケー(VN)
1040,海外,プノンペン(KH)
1041,海外,センソックシティ(KH)
1042,海外,ミエンチェイ(KH)
1050,海外,BSD CITY(ID)
1051,海外,ジャカルタガーデンシティ(ID)
1052,海外,セントゥールシティ(ID)
1053,海外,タンジュンバラット(ID)
1054,海外,デルタマス(ID)
