id,region,name
1,北海道,江別
2,青森県,八戸城下
3,青森県,青森東
4,青森県,浪岡
5,青森県,弘前樋の口
6,青森県,青森浜田
7,青森県,平賀
8,岩手県,北上
9,岩手県,盛岡駅前
10,岩手県,矢巾ショッピングセンター
11,岩手県,紫波
12,岩手県,江刺
13,岩手県,釜石
14,秋田県,大館西
15,秋田県,鷹巣
16,秋田県,大曲福田
17,秋田県,茨島アネックス
18,秋田県,能代
19,宮城県,佐沼
20,宮城県,仙台泉大沢
21,宮城県,金成
22,宮城県,古川
23,宮城県,鹿島台
24,宮城県,矢本
25,宮城県,塩釜
26,宮城県,仙台八乙女
27,宮城県,仙台郡山
28,宮城県,仙台富沢
29,宮城県,名取
30,宮城県,柴田
31,山形県,酒田
32,福島県,塩川
33,福島県,須賀川
34,福島県,郡山
35,茨城県,水戸南
36,茨城県,守谷
37,栃木県,那須
38,栃木県,那須塩原
39,栃木県,さくら
40,栃木県,真岡
41,栃木県,佐野
42,埼玉県,東浦和
43,埼玉県,蕨
44,埼玉県,上里
45,埼玉県,吉川美南
46,埼玉県,ふじみ野
47,埼玉県,毛呂山
48,千葉県,野田七光台
49,千葉県,松ヶ崎
50,千葉県,木更津請西
51,千葉県,たつみ台
52,千葉県,東習志野
53,千葉県,館山
54,千葉県,おゆみ野
55,千葉県,稲毛長沼
56,千葉県,木更津朝日
57,千葉県,ユーカリが丘
58,千葉県,幕張西
59,千葉県,市川大和田
60,千葉県,新船橋
61,千葉県,野田船形ショッピングセンター
62,千葉県,成田富里
63,千葉県,旭
64,千葉県,君津
65,東京都,旗の台
66,東京都,稲城長沼
67,東京都,田無芝久保
68,新潟県,糸魚川
69,富山県,上飯野
70,富山県,氷見
71,石川県,金沢駅西本町
72,石川県,金沢示野
73,石川県,羽咋
74,石川県,野々市
75,山梨県,山梨中央
76,長野県,長野三輪
77,長野県,松本村井
78,長野県,しおだ野
79,長野県,茅野
80,長野県,信州山形
81,岐阜県,大垣
82,岐阜県,美濃
83,岐阜県,各務原
84,岐阜県,各務原鵜沼
85,岐阜県,本巣
86,岐阜県,岐阜北方
87,静岡県,蒲原
88,静岡県,浜松葵
89,静岡県,浜松新橋
90,静岡県,富士南
91,静岡県,磐田
92,静岡県,大須賀
93,静岡県,湖西
94,静岡県,湖西新居
95,静岡県,浜岡
96,静岡県,稲取
97,愛知県,有松
98,愛知県,千種
99,愛知県,熱田千年
100,愛知県,名西
101,愛知県,豊橋橋良
102,愛知県,岡崎美合
103,愛知県,刈谷
104,愛知県,弥富
105,三重県,芸濃
106,三重県,津河芸
107,三重県,津城山
108,三重県,四日市泊
109,三重県,伊勢ララパーク
110,三重県,松阪船江
111,三重県,桑名新西方
112,三重県,鈴鹿玉垣
113,三重県,鈴鹿
114,三重県,伊賀上野
115,三重県,菰野
116,滋賀県,アヤハプラザ(膳所)
117,滋賀県,彦根
118,滋賀県,野洲
119,滋賀県,湖南
120,京都府,山科椥辻
121,京都府,久御山
122,大阪府,淀川三国
123,大阪府,あびこ駅前
124,大阪府,諏訪の森
125,大阪府,豊中緑丘
126,大阪府,豊中庄内
127,大阪府,守口
128,大阪府,茨木太田
129,大阪府,松原
130,大阪府,小阪
131,大阪府,東大阪
132,大阪府,羽倉崎
133,兵庫県,姫路
134,兵庫県,加古川
135,兵庫県,高砂
136,兵庫県,川西
137,奈良県,富雄南
138,奈良県,天理
139,和歌山県,貴志川
140,島根県,大田
141,岡山県,和気
142,広島県,楽々園
143,山口県,小郡
144,山口県,防府
145,山口県,周南久米
146,山口県,周南
147,山口県,平生
148,徳島県,北島
149,徳島県,上板
150,香川県,宇多津
151,愛媛県,川之江
152,福岡県,黒崎
153,長崎県,早岐
154,長崎県,諫早西部台
155,長崎県,長与
156,熊本県,田崎
157,熊本県,西熊本
158,熊本県,荒尾
159,大分県,豊後高田
160,宮崎県,日向
161,鹿児島県,姶良
162,沖縄県,南城大里
163,沖縄県,安謝
164,沖縄県,豊見城
165,沖縄県,とよみ
166,沖縄県,泡瀬
167,沖縄県,読谷
168,沖縄県,知花
169,沖縄県,読谷
170,沖縄県,読谷座喜味
171,沖縄県,石川
172,沖縄県,宮古西里
173,沖縄県,宮古南
