id,region,name,pref,prefcode
1,北海道,丸井今井 札幌本店,北海道,1
2,北海道,丸井今井 函館店,北海道,1
3,北海道,札幌三越,北海道,1
4,北海道,大丸札幌店,北海道,1
5,北海道,東急百貨店 さっぽろ店,北海道,1
6,東北,さくら野百貨店 弘前店,青森県,2
7,東北,さくら野百貨店 青森本店,青森県,2
8,東北,さくら野百貨店 八戸店,青森県,2
9,東北,パルクアベニュー・カワトク,岩手県,3
10,東北,仙台三越,宮城県,4
11,東北,藤崎,宮城県,4
12,東北,西武秋田店,秋田県,5
13,東北,うすい百貨店,福島県,7
14,関東,京成百貨店,茨城県,8
15,関東,東武宇都宮百貨店,栃木県,9
16,関東,東武宇都宮百貨店 大田原店,栃木県,9
17,関東,東武宇都宮百貨店 栃木市役所店,栃木県,9
18,関東,福田屋ショッピングプラザ宇都宮店,栃木県,9
19,関東,FKDショッピングモール宇都宮インターパーク店,栃木県,9
20,関東,福田屋鹿沼店,栃木県,9
21,関東,スズラン百貨店 高崎店,群馬県,10
22,関東,スズラン百貨店 前橋店,群馬県,10
23,関東,高崎髙島屋,群馬県,10
24,関東,伊勢丹 浦和店,埼玉県,11
25,関東,丸広百貨店 川越店,埼玉県,11
26,関東,丸広百貨店 飯能店,埼玉県,11
27,関東,八木橋百貨店,埼玉県,11
28,関東,丸広百貨店 入間店,埼玉県,11
29,関東,そごう大宮店,埼玉県,11
30,関東,西武所沢S.C.,埼玉県,11
31,関東,大宮髙島屋,埼玉県,11
32,関東,矢尾百貨店,埼玉県,11
33,関東,東武百貨店 船橋店,千葉県,12
34,関東,そごう千葉店,千葉県,12
35,関東,柏高島屋,千葉県,12
36,関東,伊勢丹 新宿店,東京都,13
37,関東,日本橋三越本店,東京都,13
38,関東,銀座三越,東京都,13
39,関東,伊勢丹 立川店,東京都,13
40,関東,松坂屋上野店,東京都,13
41,関東,大丸東京店,東京都,13
42,関東,渋谷 東急フードショー,東京都,13
43,関東,渋谷ヒカリエ ShinQs,東京都,13
44,関東,二子玉川 東急フードショー,東京都,13
45,関東,東急百貨店 吉祥寺店,東京都,13
46,関東,京王百貨店 新宿店,東京都,13
47,関東,小田急百貨店 新宿店,東京都,13
48,関東,グランデュオ蒲田,東京都,13
49,関東,東武百貨店 池袋店,東京都,13
50,関東,松屋銀座,東京都,13
51,関東,松屋浅草,東京都,13
52,関東,グランデュオ立川,東京都,13
53,関東,小田急百貨店 町田店,東京都,13
54,関東,京王百貨店 聖蹟桜ヶ丘店,東京都,13
55,関東,西武池袋本店,東京都,13
56,関東,西武渋谷店,東京都,13
57,関東,日本橋髙島屋S.C.,東京都,13
58,関東,新宿髙島屋,東京都,13
59,関東,玉川髙島屋S.C.,東京都,13
60,関東,阪急メンズ東京,東京都,13
61,関東,東急百貨店 たまプラーザ店,神奈川県,14
62,関東,日吉東急アベニュー,神奈川県,14
63,関東,京急百貨店,神奈川県,14
64,関東,さいか屋 横須賀店,神奈川県,14
65,関東,小田急百貨店 ふじさわ,神奈川県,14
66,関東,さいか屋 藤沢店,神奈川県,14
67,関東,西武東戸塚S.C.,神奈川県,14
68,関東,そごう横浜店,神奈川県,14
69,関東,横浜髙島屋,神奈川県,14
70,関東,都筑阪急,神奈川県,14
71,中部,新潟伊勢丹,新潟県,15
72,中部,大和 富山店,富山県,16
73,中部,金沢エムザ,石川県,17
74,中部,大和 香林坊店,石川県,17
75,中部,西武福井店,福井県,18
76,中部,岡島,山梨県,19
77,中部,ながの東急百貨店,長野県,20
78,中部,アイシティ21,長野県,20
79,中部,静岡伊勢丹,静岡県,22
80,中部,松坂屋静岡店,静岡県,22
81,中部,遠鉄百貨店,静岡県,22
82,中部,名古屋栄三越,愛知県,23
83,中部,星ヶ丘三越,愛知県,23
84,中部,松坂屋 名古屋店,愛知県,23
85,中部,ジェイア一ル名古屋タカシマヤ,愛知県,23
86,中部,松菱百貨店,三重県,24
87,中部,近鉄百貨店 四日市店,三重県,24
88,近畿,近鉄百貨店 草津店,滋賀県,25
89,近畿,ジェイアール京都伊勢丹,京都府,26
90,近畿,大丸京都店,京都府,26
91,近畿,藤井大丸,京都府,26
92,近畿,京都髙島屋S.C.,京都府,26
93,近畿,髙島屋 洛西店,京都府,26
94,近畿,大丸 心斎橋店,大阪府,27
95,近畿,大丸 梅田店,大阪府,27
96,近畿,松坂屋 高槻店,大阪府,27
97,近畿,京阪百貨店 モール京橋店,大阪府,27
98,近畿,京阪百貨店 くずはモール店,大阪府,27
99,近畿,京阪百貨店 ひらかた店,大阪府,27
100,近畿,京阪百貨店 守口店,大阪府,27
