id,region,name
1,栃木県,宇都宮
2,埼玉県,浦和
3,埼玉県,大宮宮原
4,埼玉県,大宮
5,埼玉県,久喜
6,埼玉県,上尾駅前
7,埼玉県,草加
8,埼玉県,新田
9,埼玉県,和光
10,埼玉県,食品館埼玉大井
11,埼玉県,三郷
12,埼玉県,朝霞
13,埼玉県,アリオ鷲宮
14,埼玉県,アリオ上尾
15,埼玉県,アリオ川口
16,埼玉県,アリオ深谷
17,千葉県,松戸
18,千葉県,八柱
19,千葉県,船橋
20,千葉県,我孫子南口
21,千葉県,我孫子
22,千葉県,流山
23,千葉県,食品館おおたかの森
24,千葉県,幕張
25,千葉県,八千代
26,千葉県,四街道
27,千葉県,アリオ柏
28,千葉県,アリオ市原
29,千葉県,アリオ蘇我
30,東京都,高砂
31,東京都,四つ木
32,東京都,亀有駅前
33,東京都,東村山
34,東京都,綾瀬
35,東京都,武蔵境
36,東京都,小岩
37,東京都,多摩センター
38,東京都,昭島
39,東京都,東久留米
40,東京都,赤羽
41,東京都,大井町
42,東京都,八王子
43,東京都,南大沢
44,東京都,木場
45,東京都,東大和
46,東京都,国領
47,東京都,大森
48,東京都,武蔵小金井
49,東京都,曳舟
50,東京都,アリオ北砂
51,東京都,アリオ亀有
52,東京都,アリオ西新井
53,東京都,アリオ葛西
54,神奈川県,相模原
55,神奈川県,古淵
56,神奈川県,湘南台
57,神奈川県,洋光台
58,神奈川県,たまプラーザ
59,神奈川県,桂台
60,神奈川県,若葉台
61,神奈川県,上永谷
62,神奈川県,鶴見
63,神奈川県,能見台
64,神奈川県,横浜別所
65,神奈川県,立場
66,神奈川県,ららぽーと横浜
67,神奈川県,食品館瀬谷
68,神奈川県,大船
69,神奈川県,武蔵小杉駅前
70,神奈川県,溝ノ口
71,神奈川県,新百合ヶ丘
72,神奈川県,川崎
73,神奈川県,伊勢原
74,神奈川県,小田原
75,神奈川県,大和鶴間
76,神奈川県,食品館ららぽーと湘南平塚
77,神奈川県,アリオ橋本
78,神奈川県,グランツリー武蔵小杉
79,山梨県,甲府昭和
80,静岡県,静岡
81,静岡県,三島
82,愛知県,知多
83,愛知県,プライムツリー赤池
84,岐阜県,柳津
85,大阪府,津久野
86,大阪府,あべの
87,大阪府,アリオ鳳
88,大阪府,アリオ八尾
89,兵庫県,甲子園
90,兵庫県,明石
91,兵庫県,アリオ加古川
