id,region,name
101,P.O.,御殿場
102,P.O.,りんくう
103,P.O.,佐野
104,P.O.,鳥栖
105,P.O.,土岐
106,P.O.,神戸三田
107,P.O.,仙台泉
108,P.O.,あみ
109,P.O.,酒々井
110,P.O.,ふかや花園
201,三井,横浜ベイサイド
202,三井,マリンピア神戸
203,三井,多摩南大沢
204,三井,幕張
205,三井,ジャズドリーム長島
206,三井,入間
207,三井,仙台港
208,三井,札幌北広島
209,三井,滋賀竜王
210,三井,倉敷
211,三井,木更津
212,三井,北陸小矢部
213,三井,大阪門真
214,三井,岡崎
301,その他,ジHIROSHIMA
302,その他,ジKITAKYUSHU
303,その他,ジSHONAN HIRATSUKA
304,その他,軽井沢プリンス
305,その他,沖縄アウトレットモールあしびなー
306,その他,那須ガーデン
307,その他,レイクタウン
308,その他,グランベリーパーク
