id,region,name
1001,兵庫県,丹波
1002,兵庫県,姫路
2001,岡山県,井原
2002,岡山県,邑久
2003,岡山県,平島
2004,岡山県,高梁
2005,岡山県,久世
2006,岡山県,倉敷
2007,岡山県,ゆめモール赤磐
3001,広島県,LECT
3002,広島県,廿日市
3003,広島県,広島
3004,広島県,呉
3006,広島県,江田島
3007,広島県,大竹
3008,広島県,学園店
3009,広島県,ゆめテラス祇園
3010,広島県,黒瀬
3011,広島県,蔵王
3012,広島県,東広島
3013,広島県,福山
3014,広島県,松永
3015,広島県,みゆき
3016,広島県,安古市
3017,広島県,吉田
3018,広島県,ゆめモール五日市
3019,広島県,ゆめモール西条
4001,島根県,浜田
4002,島根県,益田
4003,島根県,江津
4004,島根県,出雲
4005,島根県,斐川
5001,山口県,ゆめシティ
5002,山口県,山口
5003,山口県,防府
5004,山口県,下松
5005,山口県,新南陽
5006,山口県,徳山
5007,山口県,柳井
5008,山口県,南岩国
5009,山口県,宇部
5010,山口県,長府
5011,山口県,ゆめモール下関
6001,徳島県,徳島
7001,香川県,高松
7002,香川県,丸亀
7003,香川県,三豊
8001,福岡県,博多
8002,福岡県,筑紫野
8003,福岡県,久留米
8004,福岡県,八女
8005,福岡県,大牟田
8007,福岡県,遠賀
8008,福岡県,行橋
8009,福岡県,南行橋
8110,福岡県,飯塚
8111,福岡県,大川
8112,福岡県,ゆめモール柳川
8113,福岡県,ゆめモール筑後
8114,福岡県,ゆめモール那珂川
9001,佐賀県,佐賀
9002,佐賀県,武雄
9101,長崎県,夢彩都
9201,熊本県,光の森
9202,熊本県,はません
9203,熊本県,サンピアン
9204,熊本県,シティモール
9205,熊本県,八代
9206,熊本県,ゆめモール合志
9301,大分県,別府
9302,大分県,中津
